term,estimate,std.error,statistic,p.value,conf.low,conf.high,Model,Outcome,OR,conf.low_OR,conf.high_OR
uhi_quartileQ3,0.05963478941073328,0.025804459073385633,2.311026526118495,0.02083138975908774,0.009058978986359642,0.11021059983510692,Clinical Adj.,outcome_mortality,1.0614488233990997,1.0091001357219547,1.116513183192926
uhi_quartileQ4 (High),-0.031932394065645735,0.027997169033717257,-1.1405579623850273,0.25405391922918574,-0.0868058370408116,0.02294104890952014,Clinical Adj.,outcome_mortality,0.9685720610849671,0.9168550976508006,1.0232062186468684
uhi_quartileQ2,0.08952216056624034,0.022990597662626247,3.8938596499284786,9.866174661827566e-5,0.04446141716444216,0.13458290396803851,Fully Adj.,outcome_mortality,1.09365156898185,1.045464638942042,1.1440595021433044
uhi_quartileQ3,0.06735863679423676,0.026768370671442505,2.5163517653354024,0.011857676874895706,0.014893594353391201,0.11982367923508232,Fully Adj.,outcome_mortality,1.0696790356517856,1.0150050566001307,1.1272980679974145
uhi_quartileQ4 (High),-0.011627307425628968,0.02714919355574529,-0.42827450479347323,0.6684512784765045,-0.06483874900419664,0.04158413415293871,Fully Adj.,outcome_mortality,0.9884400284822453,0.9372185786224224,1.0424608647238436
uhi_quartileQ2,-0.017019677730841565,0.02076810499414804,-0.8195103855473239,0.4124952790395305,-0.05772441554651814,0.023685060084835008,Unadjusted,outcome_comp,0.9831243387884466,0.9439100385287257,1.023967778777687
uhi_quartileQ3,-0.014354270552144222,0.021158506557777297,-0.6784160551666147,0.4975079322022338,-0.05582418137204226,0.027115640267753816,Unadjusted,outcome_comp,0.9857482608154609,0.9457053938991481,1.0274866147208734
uhi_quartileQ4 (High),-0.03276663065625396,0.0220324417858356,-1.487199238956766,0.13696219701752696,-0.07594942304796708,0.010416161735459159,Unadjusted,outcome_comp,0.9677643797764619,0.9268630832836356,1.0104705987923295
uhi_quartileQ2,-0.011583058337621965,0.020302695775768063,-0.5705182437618322,0.5683262518997465,-0.051375610847200846,0.028209494171956916,Clinical Adj.,outcome_comp,0.9884837670197434,0.9499218025818437,1.0286111498923691
uhi_quartileQ3,-0.01192776386320235,0.020703637751549483,-0.5761192311389656,0.5645345935523933,-0.05250614820520315,0.028650620478798447,Clinical Adj.,outcome_comp,0.9881430899233172,0.948848487322661,1.0290649974247805
uhi_quartileQ4 (High),-0.0318827956854222,0.021550417334498508,-1.4794514273458328,0.13901970402242067,-0.07412083751284693,0.010355246142002533,Clinical Adj.,outcome_comp,0.9686201018816897,0.9285594822433738,1.0104090472508769
uhi_quartileQ2,-0.00791899023893792,0.021068694655101076,-0.3758652526211729,0.7070170739318822,-0.04921287296420755,0.033374892486331714,Fully Adj.,outcome_comp,0.9921122823606805,0.9519784576514285,1.033938082211646
uhi_quartileQ3,-0.010691093656982856,0.020854929322562273,-0.5126410879473232,0.6082024062049796,-0.05156600402933321,0.030183816715367497,Fully Adj.,outcome_comp,0.9893658529635813,0.949740961163106,1.0306439661311506
